#t  x1  x2  v1  v2 
0.00000  2.00000  10.00000  -1.00000  5.00000 
0.01000  1.99030  10.04980  -0.93965  4.95945 
0.02000  1.98121  10.09919  -0.87862  4.91782 
0.03000  1.97273  10.14816  -0.81693  4.87512 
0.04000  1.96487  10.19669  -0.75458  4.83136 
0.05000  1.95764  10.24478  -0.69160  4.78655 
0.06000  1.95104  10.29242  -0.62800  4.74073 
0.07000  1.94508  10.33960  -0.56380  4.69389 
0.08000  1.93976  10.38630  -0.49902  4.64605 
0.09000  1.93510  10.43252  -0.43367  4.59724 
0.10000  1.93109  10.47824  -0.36778  4.54746 
0.11000  1.92774  10.52347  -0.30136  4.49674 
0.12000  1.92506  10.56818  -0.23443  4.44509 
0.13000  1.92305  10.61237  -0.16701  4.39252 
0.14000  1.92172  10.65603  -0.09911  4.33906 
0.15000  1.92107  10.69915  -0.03076  4.28472 
0.16000  1.92110  10.74172  0.03802  4.22952 
0.17000  1.92183  10.78374  0.10722  4.17348 
0.18000  1.92325  10.82519  0.17681  4.11662 
0.19000  1.92537  10.86607  0.24678  4.05895 
0.20000  1.92818  10.90637  0.31711  4.00049 
0.21000  1.93171  10.94608  0.38777  3.94127 
0.22000  1.93594  10.98520  0.45875  3.88129 
0.23000  1.94088  11.02371  0.53003  3.82059 
0.24000  1.94654  11.06161  0.60158  3.75917 
0.25000  1.95291  11.09889  0.67339  3.69707 
0.26000  1.96001  11.13555  0.74543  3.63429 
0.27000  1.96782  11.17158  0.81769  3.57085 
0.28000  1.97636  11.20697  0.89014  3.50679 
0.29000  1.98563  11.24171  0.96276  3.44211 
0.30000  1.99562  11.27581  1.03554  3.37684 
0.31000  2.00634  11.30925  1.10844  3.31100 
0.32000  2.01779  11.34203  1.18146  3.24461 
0.33000  2.02997  11.37414  1.25456  3.17769 
0.34000  2.04288  11.40558  1.32773  3.11025 
0.35000  2.05652  11.43635  1.40095  3.04233 
0.36000  2.07090  11.46643  1.47419  2.97394 
0.37000  2.08600  11.49583  1.54743  2.90510 
0.38000  2.10184  11.52453  1.62065  2.83584 
0.39000  2.11842  11.55254  1.69384  2.76617 
0.40000  2.13572  11.57986  1.76696  2.69612 
0.41000  2.15376  11.60647  1.83999  2.62570 
0.42000  2.17252  11.63237  1.91292  2.55494 
0.43000  2.19201  11.65757  1.98573  2.48387 
0.44000  2.21224  11.68205  2.05838  2.41249 
0.45000  2.23318  11.70582  2.13087  2.34084 
0.46000  2.25485  11.72887  2.20316  2.26893 
0.47000  2.27725  11.75119  2.27524  2.19679 
0.48000  2.30036  11.77280  2.34709  2.12444 
0.49000  2.32419  11.79368  2.41867  2.05190 
0.50000  2.34873  11.81384  2.48998  1.97919 
0.51000  2.37399  11.83327  2.56099  1.90633 
0.52000  2.39995  11.85197  2.63168  1.83335 
0.53000  2.42662  11.86993  2.70202  1.76026 
0.54000  2.45399  11.88717  2.77200  1.68709 
0.55000  2.48206  11.90368  2.84159  1.61387 
0.56000  2.51082  11.91945  2.91078  1.54060 
0.57000  2.54028  11.93449  2.97954  1.46732 
0.58000  2.57041  11.94879  3.04785  1.39404 
0.59000  2.60123  11.96237  3.11569  1.32078 
0.60000  2.63273  11.97521  3.18304  1.24758 
0.61000  2.66489  11.98732  3.24987  1.17444 
0.62000  2.69773  11.99870  3.31618  1.10139 
0.63000  2.73122  12.00935  3.38193  1.02846 
0.64000  2.76536  12.01927  3.44710  0.95565 
0.65000  2.80016  12.02846  3.51169  0.88300 
0.66000  2.83560  12.03693  3.57566  0.81053 
0.67000  2.87167  12.04467  3.63899  0.73825 
0.68000  2.90838  12.05169  3.70167  0.66619 
0.69000  2.94571  12.05800  3.76368  0.59436 
0.70000  2.98365  12.06358  3.82499  0.52279 
0.71000  3.02221  12.06845  3.88560  0.45150 
0.72000  3.06136  12.07261  3.94547  0.38051 
0.73000  3.10112  12.07606  4.00458  0.30983 
0.74000  3.14145  12.07881  4.06293  0.23950 
0.75000  3.18237  12.08085  4.12049  0.16952 
0.76000  3.22386  12.08220  4.17725  0.09992 
0.77000  3.26592  12.08285  4.23317  0.03072 
0.78000  3.30853  12.08281  4.28826  -0.03807 
0.79000  3.35168  12.08209  4.34248  -0.10641 
0.80000  3.39538  12.08068  4.39582  -0.17431 
0.81000  3.43960  12.07860  4.44827  -0.24172 
0.82000  3.48434  12.07585  4.49980  -0.30865 
0.83000  3.52960  12.07243  4.55040  -0.37506 
0.84000  3.57535  12.06835  4.60006  -0.44095 
0.85000  3.62160  12.06361  4.64875  -0.50628 
0.86000  3.66833  12.05822  4.69646  -0.57105 
0.87000  3.71553  12.05219  4.74317  -0.63523 
0.88000  3.76319  12.04552  4.78887  -0.69882 
0.89000  3.81130  12.03821  4.83355  -0.76178 
0.90000  3.85986  12.03028  4.87718  -0.82411 
0.91000  3.90885  12.02173  4.91975  -0.88579 
0.92000  3.95826  12.01257  4.96125  -0.94680 
0.93000  4.00807  12.00279  5.00167  -1.00712 
0.94000  4.05829  11.99242  5.04098  -1.06674 
0.95000  4.10889  11.98146  5.07918  -1.12564 
0.96000  4.15987  11.96991  5.11624  -1.18381 
0.97000  4.21122  11.95778  5.15217  -1.24123 
0.98000  4.26292  11.94509  5.18695  -1.29789 
